iter	Passed	Remaining
267	509	1390
268	510	1386
269	511	1382
270	512	1378
271	513	1373
272	514	1369
273	527	1398
274	532	1402
275	533	1400
276	534	1395
277	539	1402
278	541	1399
279	542	1395
280	543	1390
281	544	1386
282	545	1382
283	547	1379
284	548	1375
285	549	1370
286	550	1367
287	554	1371
288	555	1367
289	556	1363
290	557	1359
291	558	1354
292	560	1351
293	561	1347
294	562	1343
295	562	1338
296	563	1334
297	565	1331
298	568	1332
299	569	1329
300	570	1325
301	571	1321
302	572	1317
303	573	1313
304	575	1310
305	576	1307
306	577	1303
307	578	1298
308	578	1294
309	582	1296
310	584	1296
311	585	1292
312	586	1288
313	587	1284
314	589	1280
315	590	1278
316	591	1274
317	592	1270
318	593	1266
319	594	1262
320	597	1264
321	599	1262
322	600	1258
323	601	1255
324	602	1251
325	603	1248
326	605	1245
327	606	1241
328	607	1238
329	608	1234
330	609	1231
331	612	1232
332	613	1229
333	614	1225
334	615	1222
335	616	1218
336	617	1215
337	618	1212
338	619	1208
339	620	1204
340	621	1201
341	622	1197
342	623	1193
343	626	1194
344	629	1195
345	630	1192
346	631	1188
347	632	1185
348	633	1182
349	635	1179
350	636	1175
351	636	1172
352	637	1168
353	638	1165
354	642	1166
355	644	1165
356	645	1162
357	646	1159
358	647	1156
359	648	1153
360	649	1149
361	650	1146
362	651	1142
363	652	1139
364	652	1135
365	653	1132
366	657	1134
367	658	1130
368	659	1127
369	660	1124
370	661	1120
371	661	1117
372	662	1114
373	663	1111
374	664	1107
375	665	1104
376	666	1101
377	667	1097
378	668	1094
379	668	1091
380	671	1091
381	674	1091
382	675	1088
383	676	1085
384	677	1082
385	678	1079
386	680	1077
387	681	1074
388	682	1071
389	682	1068
390	683	1064
391	686	1064
392	688	1063
393	690	1061
394	691	1058
395	691	1055
396	692	1052
397	693	1049
398	694	1046
399	695	1043
400	696	1039
401	697	1036
402	697	1033
403	698	1030
404	703	1034
405	704	1031
406	705	1028
407	706	1024
408	707	1021
409	708	1018
410	709	1016
411	709	1013
412	710	1010
413	711	1007
414	712	1004
415	713	1001
416	714	998
417	717	999
418	719	997
419	719	994
420	720	991
421	721	988
422	722	985
423	723	982
424	724	980
425	725	977
426	726	974
427	726	971
428	727	968
429	728	965
430	732	967
431	733	964
432	734	961
433	735	959
434	736	956
435	737	953
436	738	950
437	738	948
438	739	945
439	740	942
440	741	939
441	742	937
442	743	934
443	746	934
444	747	932
445	748	929
446	749	926
447	749	924
448	750	921
449	751	918
450	752	916
451	753	913
452	754	910
453	755	908
454	756	905
455	756	902
456	757	900
457	758	898
458	762	898
459	763	896
460	765	894
461	766	892
462	767	889
463	768	887
464	769	885
465	770	882
466	771	880
467	772	877
468	773	875
469	776	875
470	779	875
471	780	872
472	780	870
473	781	867
474	782	864
475	783	862
476	784	859
477	785	857
478	786	854
479	786	852
480	787	849
481	789	847
482	793	849
483	794	846
484	795	844
485	795	841
486	796	839
487	797	836
488	798	834
489	799	832
490	800	829
491	801	827
492	802	824
493	802	822
494	805	822
495	808	821
496	809	819
497	810	816
498	811	814
499	812	812
500	813	809
501	813	807
502	814	805
503	815	802
504	816	800
505	817	797
506	818	795
507	822	796
508	824	795
509	825	792
510	826	790
511	827	788
512	828	786
513	828	783
514	829	781
515	830	779
516	831	776
517	832	774
518	833	772
519	836	772
520	837	770
521	838	768
522	839	765
523	840	763
524	842	761
525	843	759
526	844	758
527	845	756
528	846	754
529	848	752
530	850	751
531	853	751
532	855	749
533	856	747
534	857	744
535	857	742
536	859	740
537	861	739
538	862	737
539	863	735
540	866	735
541	869	734
542	870	732
543	871	730
544	872	728
545	873	726
546	874	723
547	875	721
548	875	719
549	876	717
550	877	715
551	878	712
552	882	713
553	884	711
554	885	709
555	886	707
556	886	705
557	887	703
558	888	701
559	889	698
560	890	696
561	891	694
562	892	692
563	892	690
564	893	688
565	896	687
566	899	686
567	900	684
568	901	682
569	901	680
570	902	678
571	903	676
572	904	674
573	905	671
574	906	669
575	907	667
576	908	665
577	909	664
578	913	663
579	914	661
580	914	659
581	915	657
582	916	655
583	917	653
584	918	651
585	920	650
586	921	648
587	922	646
588	923	644
589	925	643
590	926	641
591	927	639
592	928	637
593	929	635
594	930	633
595	931	631
596	932	629
597	933	627
598	933	625
599	934	623
600	935	621
601	936	619
602	937	617
603	940	616
604	943	615
605	944	613
606	945	612
607	946	610
608	947	608
609	947	606
610	948	604
611	949	602
612	950	600
613	951	598
614	952	596
615	953	594
616	957	594
617	959	592
618	960	590
619	961	589
620	962	587
621	963	585
622	964	583
623	965	581
624	966	579
625	967	577
626	970	577
627	973	576
628	974	574
629	975	572
630	975	570
631	976	568
632	977	566
633	978	564
634	979	563
635	980	561
636	981	559
637	986	559
638	990	559
639	991	557
640	993	556
641	994	554
642	995	552
643	996	550
644	997	549
645	1003	550
646	1005	548
647	1006	546
648	1007	545
649	1009	543
650	1011	542
651	1012	540
652	1013	538
653	1015	537
654	1016	535
655	1018	534
656	1019	532
657	1020	530
658	1021	528
659	1022	526
660	1023	524
661	1024	523
662	1025	521
663	1026	519
664	1029	518
665	1033	518
666	1035	516
667	1036	515
668	1037	513
669	1038	511
670	1040	510
671	1041	508
672	1048	509
673	1050	507
674	1051	506
675	1052	504
676	1054	502
677	1055	501
678	1060	501
679	1064	501
680	1066	499
681	1067	497
682	1068	496
683	1070	494
684	1071	492
685	1072	490
686	1075	490
687	1078	489
688	1080	487
689	1081	485
690	1082	483
691	1083	482
692	1084	480
693	1085	478
694	1086	476
695	1087	475
696	1093	475
697	1095	474
698	1097	472
699	1100	471
700	1102	470
701	1106	469
702	1108	468
703	1110	466
704	1112	465
705	1113	463
706	1115	462
707	1116	460
708	1119	459
709	1125	459
710	1127	458
711	1131	457
712	1138	458
713	1141	457
714	1142	455
715	1144	453
716	1146	452
717	1147	450
718	1151	450
719	1154	448
720	1155	447
721	1158	446
722	1160	444
723	1167	445
724	1170	443
725	1173	442
726	1176	441
727	1181	441
728	1184	440
729	1186	438
730	1188	437
731	1190	435
732	1193	434
733	1198	434
734	1200	432
735	1201	430
736	1203	429
737	1204	427
738	1206	425
739	1207	424
740	1209	422
741	1214	422
742	1215	420
743	1217	419
744	1219	417
745	1220	415
746	1221	413
747	1222	411
748	1223	410
749	1230	410
750	1231	408
751	1232	406
752	1234	404
753	1235	403
754	1237	401
755	1239	399
756	1243	399
757	1245	397
758	1247	396
759	1249	394
760	1250	392
761	1253	391
762	1254	389
763	1257	388
764	1260	387
765	1261	385
766	1262	383
767	1263	381
768	1264	379
769	1265	378
770	1266	376
771	1268	374
772	1269	372
773	1270	371
774	1275	370
775	1276	368
776	1277	366
777	1279	365
778	1280	363
779	1281	361
780	1283	359
781	1284	358
782	1290	357
783	1292	355
784	1293	354
785	1294	352
786	1295	350
787	1296	348
788	1298	347
789	1299	345
790	1300	343
791	1304	342
792	1306	340
793	1307	339
794	1308	337
795	1309	335
796	1310	333
797	1311	332
798	1312	330
799	1313	328
800	1315	326
801	1317	325
802	1319	323
803	1321	322
804	1323	320
805	1325	318
806	1326	317
807	1328	315
808	1329	313
809	1330	312
810	1331	310
811	1333	308
812	1334	307
813	1336	305
814	1337	303
815	1340	302
816	1343	300
817	1345	299
818	1347	297
819	1348	296
820	1350	294
821	1356	293
822	1357	291
823	1358	290
824	1359	288
825	1360	286
826	1361	284
827	1362	283
828	1363	281
829	1365	279
830	1370	278
831	1371	276
832	1372	275
833	1373	273
834	1374	271
835	1380	270
836	1397	272
837	1401	271
838	1404	269
839	1406	267
840	1409	266
841	1411	264
842	1413	263
843	1417	262
844	1419	260
845	1421	258
846	1422	256
847	1423	255
848	1424	253
849	1426	251
850	1430	250
851	1434	249
852	1435	247
853	1436	245
854	1438	243
855	1439	242
856	1447	241
857	1448	239
858	1449	237
859	1450	236
860	1451	234
861	1453	232
862	1454	230
863	1455	229
864	1461	228
865	1463	226
866	1464	224
867	1465	222
868	1466	221
869	1467	219
870	1468	217
871	1469	215
872	1469	213
873	1470	212
874	1473	210
875	1476	209
876	1477	207
877	1478	205
878	1479	203
879	1480	201
880	1481	200
881	1482	198
882	1483	196
883	1484	194
884	1484	192
885	1485	191
886	1489	189
887	1491	188
888	1492	186
889	1493	184
890	1493	182
891	1494	180
892	1495	179
893	1496	177
894	1497	175
895	1498	173
896	1499	172
897	1499	170
898	1503	168
899	1504	167
900	1505	165
901	1506	163
902	1507	161
903	1508	160
904	1509	158
905	1510	156
906	1511	154
907	1511	153
908	1512	151
909	1513	149
910	1514	147
911	1515	146
912	1518	144
913	1521	143
914	1523	141
915	1524	139
916	1525	138
917	1526	136
918	1527	134
919	1528	132
920	1529	131
921	1530	129
922	1533	127
923	1536	126
924	1537	124
925	1538	122
926	1539	121
927	1540	119
928	1541	117
929	1542	116
930	1543	114
931	1544	112
932	1545	110
933	1550	109
934	1551	107
935	1552	106
936	1553	104
937	1554	102
938	1555	101
939	1556	99
940	1557	97
941	1558	95
942	1559	94
943	1562	92
944	1566	91
945	1567	89
946	1569	87
947	1570	86
948	1571	84
949	1572	82
950	1573	81
951	1574	79
952	1581	77
953	1582	76
954	1584	74
955	1585	72
956	1586	71
957	1587	69
958	1588	67
959	1589	66
960	1590	64
961	1594	62
962	1595	61
963	1596	59
964	1597	57
965	1598	56
966	1599	54
967	1600	52
968	1601	51
969	1601	49
970	1602	47
971	1603	46
972	1604	44
973	1605	42
974	1608	41
975	1612	39
976	1613	37
977	1614	36
978	1615	34
979	1617	33
980	1618	31
981	1619	29
982	1620	28
983	1621	26
984	1623	24
985	1625	23
986	1626	21
987	1627	19
988	1628	18
989	1631	16
990	1632	14
991	1634	13
992	1635	11
993	1636	9
994	1637	8
995	1638	6
996	1639	4
997	1640	3
998	1641	1
999	1644	0
